cluster_id,cluster_label,product,decision,confidence,reason,best_score,evidence_count,citation_1,citation_2,citation_3,section_1,section_2,section_3,snippet_1,snippet_2,snippet_3
SEM-0040,[IDT] — Bulk error report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0046,[IDT] — Provide complete PR Register and it should match with filed GSTR-3B...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0052,[IDT] — Freeze Reconciliation Result with line item from FY 23-24 till date.,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0059,"[IDT] — Maintain the details of ITC claimed, ITC reversed under 180 days an...",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0060,[IDT] — Documents should not merge,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0066,[GL Stream] — GL recon at GSTIN level,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0074,[IDT] — Excel uploader facility for Grouping,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0085,[IDT] — Time stamp required in Restore documents.,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0092,[IDT] — Accepted PR values should be appear in 4A(5) instead of 2B values i...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0097,[IDT] — Option to select ITC Ineligible as per 2B,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0098,[GL Stream] — Custom fields in GL recon,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0105,[IDT] — Require Match/Unmatch identification of each line item in recon on...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0054,[IDT] — Feature Request - Availability of Electronic Liability Ledger,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0088,[IDT] — Need facility to make GST payment through Clear portal,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0036,[IDT] — Activation of Duplication layer in data overview for Purchase,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0008,[IDT] — Reconciliation of E-way bill should also happen separately with del...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0035,[IDT] — Rule 43 Automatic reversal computation in GSTR 3B,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0045,[IDT] — Annual Return (GSTR 9/9C),IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0049,[IDT] — Reports - Enablement of Multi-PAN selection option,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0072,[GL Stream] — Turnover Recon for the purpose of GSTR 9C,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0081,[IDT] — Electronic Credit Reversal & RCM Statement,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0096,[IDT] — Feature request on GSTN Verification report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0103,[IDT] — Additional Fields required in Purchase Day Book (As per Rule 54(1A)),IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0073,[IDT] — Matching Key Option is available for SR reconciliation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0015,"[IDT] — Feature Request : Add new columns ITC Claim (as per 8A) , ITC Claim...",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0053,[IDT] — Validation for Recipient billing state and state code should be same,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0087,[IDT] — Repository of all the recons with time stamp,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0002,[IDT] — Group ID locking,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0050,[IDT] — PR Documents coming in Individual Error Report but missing in Bulk...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0001,[IDT] — Filing status of Quarterly filers,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0004,[IDT] — GSTR-1A Download,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0075,[IDT] — Reconciliation Report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0102,[IDT] — GST Filing Tracker Enhancement,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0038,"[IDT] — Voucher date column in 2A v/s PR, 2B v/s PR Report",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0063,[IDT] — Consolidated file instead of split files,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0021,[IDT] — Feature request : Data Overview | Import History,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0104,[IDT] — GSTR-1 filing date required in IMS vs PR recon report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0009,[IDT] — Feature Request - Provide a summary of the Tax values of all the li...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0089,[IDT] — Feature Request - ISD Document ingestion via Purchase register for...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0093,[IDT] — Feature Request - Provide a report of documents still forming part...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0044,[IDT] — Option of Advance Amendment as Document Type using CT Sales Template,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0034,[IDT] — Feature Request for Reject Action in GSTR 2B vs PR Reconciliation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0051,[IDT] — Feature Request for GSTR 2B vs PR Reconciliation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0084,[IDT] — Feature request to enable searching for multiple document numbers i...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0095,[IDT] — Reversal & Reclaim Document Level Report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0037,[GL Stream] — GL Type Column in GL Stream,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0005,[IDT] — Data upload GSTR 6,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0007,[IDT] — B2C supplies,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0022,[IDT] — Pending RCM Liability Statement,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0042,[IDT] — Missing MY GSTIN check,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0057,[IDT] — Bulk Filing option for TCS registration,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0062,[IDT] — E-invoice reconciliation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0094,[IDT] — Required some additional details in Cleartax Doc level Sales report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0067,[IDT] — Feature : User has requested that alerts for any ingestion failures...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0043,[IDT] — Give GSTR-9 table 6 references in table 4 snapshot report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0058,[IDT] — 2B vs PR Recon visiblity,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0019,[IDT] — Feature Request,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0011,"[IDT] — Limit ""Recalculate Payment Recommendation"" to only the selected inv...",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0024,[IDT] — Bulk error file should show either ingestion error which are only p...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0030,[IDT] — DSC signing on auto-generated ISD distribution invoice PDFs,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0031,[IDT] — Need change in document level rules for Missing and Mismatch vouchers,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0055,[IDT] — Rule 37 (180 Day) - Our platform should highlight the cases where p...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0076,[IDT] — Filing tracker report to be auto-sent to tax head over e-mail after...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0078,[IDT] — FR: Need error message as per the validations,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0012,[DT] — 26AS recon manual linking feature,DT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0013,[IDT] — Ingestion of ISD Documents via Clear Purchase Template,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0041,[IDT] — Remove the Group id and group remarks feature in 2A vs PR Recon,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0064,[IDT] — removal of g1/G3B filing status in 2A vs PR Recon on standalone poi...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0069,[IDT] — Auto Linking of Invoice and CDN in 2B vs PR Reconciliation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0029,[IDT] — Supply type Bifurcation,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0068,[IDT] — Feature Request,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0083,[IDT] — Feature Request,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0023,[IDT] — GST report requirements from Clear Tax,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0086,[IDT] — Provide option to upload excel file for User Access Management,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0090,[GL Stream] — GL Stream - Need further split in Sub-status column in Revenue GL,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0065,[IDT] — Feature Request for Validation of RCM Data in 3.1D and TA2+4A3,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0071,[IDT] — Feature Request,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0006,[IDT] — Restrict action on Time barred Invoice,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0061,[IDT] — GSTR-6 SEZ Recipient Bifurcation while gnerating ISD documents,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0079,[IDT] — Feature Request - PAN-level availability of PDFs for already-paid G...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0101,[IDT] — Feature Request - GSTR-1/GSTR-3B Filed PDF for more than 1 return p...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0047,[Notice Tracker] — Feature Request for Notice Management,Notice Tracker,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0014,[IDT] — GSTR -1A Filing Tab Not showing in Filing Tracker Report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0077,[DT] — EDIT option TDS UI,DT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0070,[DT] — Even though the challans have been synced as you can see in the bel...,DT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0100,[IDT] — Feature Request,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0027,[IDT] — Supplier Name Prefix Filter Not Returning Results in Data Overview,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
