rank,cluster_id,cluster_label,product,customer_count,ticket_count_total,jira_ticket_count,account_active_arr_total,open_count,open_ratio,rank_score,priority_label,priority_reasoning,cluster_description,representative_examples,customer_names,request_ids
11,SEM-0026,"[IDT] — Require unique remarks of ""Mismatched Fields"" after considering thr...",IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: require, unique, remarks, mismatched, fields, after, considering, threshold. Most representative complaint: ""Require unique remarks of ""Mismatched Fields"" after considering threshold limit""","Require unique remarks of ""Mismatched Fields"" after considering threshold limit",Trent Limited,1077836
12,SEM-0033,[GL Stream] — Single recon for Revenue GL and Output tax GL,GL Stream,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: availability, single, recon, revenie, output, tax. Most representative complaint: ""Availability of single recon for Revenie GL and Output tax GL vs SR.""",Availability of single recon for Revenie GL and Output tax GL vs SR.,Trent Limited,1079764
13,SEM-0039,[IDT] — Reconciliation Result dashboard - As per Trent Remark.,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: dashboard, shared, reference, separate, sheet. Most representative complaint: ""Dashboard shared for reference in separate sheet.""",Dashboard shared for reference in separate sheet.,Trent Limited,1077823
14,SEM-0040,[IDT] — Bulk error report,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: per, ask, bulk, report, genberated, entry, date, however. Most representative complaint: ""Ask :The Bulk error report is genberated as per Entry date. However, we want it as per return period.""","Ask :The Bulk error report is genberated as per Entry date. However, we want it as per return period.",Trent Limited,1081916
15,SEM-0046,[IDT] — Provide complete PR Register and it should match with filed GSTR-3B...,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: provide, complete, register, should, match, filed, gstr. Most representative complaint: ""Provide complete PR Register and it should match with filed GSTR-3B's Table 4""",Provide complete PR Register and it should match with filed GSTR-3B's Table 4,Trent Limited,1077839
16,SEM-0052,[IDT] — Freeze Reconciliation Result with line item from FY 23-24 till date.,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: freeze, reconciliation, result, line, item, till, date. Most representative complaint: ""Freeze Reconciliation Result with line item from FY 23-24 till date.""",Freeze Reconciliation Result with line item from FY 23-24 till date.,Trent Limited,1077837
17,SEM-0059,"[IDT] — Maintain the details of ITC claimed, ITC reversed under 180 days an...",IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: 2025, reclaim, invoice, claimed, april, reversed, under, rule. Most representative complaint: ""If an invoice is claimed in April 2025, reversed under Rule 37 (180 days) in May 2025 and reclaimed in June 2025, the invoice only shows the latest ""Reclaim ITC"" remark and ""Reclaim month"". The request is that the tool shpould maintain the details of claim, reversal and reclaim and be readily availa...""","If an invoice is claimed in April 2025, reversed under Rule 37 (180 days) in May 2025 and reclaimed in June 2025, the invoice only shows the latest ""Reclaim ITC"" remark and ""Reclai...",Trent Limited,1040072
18,SEM-0060,[IDT] — Documents should not merge,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: invoice, original, abc, nov25, revised, same, oct25, credit. Most representative complaint: ""Original invoice - ABC (Oct25) Credit Note - ABC (Nov25) Revised invoice - ABC (Nov25) Expected behaviour of the tool - Original and Revised invoice values are getting merged in Nov25 since same doc type, same invoice number, same Supplier and My GSTIN. Ask - 1) If already ITC claimed of original in...""",Original invoice - ABC (Oct25) Credit Note - ABC (Nov25) Revised invoice - ABC (Nov25) Expected behaviour of the tool - Original and Revised invoice values are getting merged in No...,Trent Limited,1077807
19,SEM-0066,[GL Stream] — GL recon at GSTIN level,GL Stream,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: level, recon, currently, available, only, pan, wnant, gstin. Most representative complaint: ""GL recon is currently available only at PAN level, we wnant it at GSTIN level""","GL recon is currently available only at PAN level, we wnant it at GSTIN level",Trent Limited,1079760
20,SEM-0074,[IDT] — Excel uploader facility for Grouping,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: documents, provide, excel, uploader, group, multiple, they, large. Most representative complaint: ""Provide excel uploader to group multiple documents. they have large number of documents which require grouping.""",Provide excel uploader to group multiple documents. they have large number of documents which require grouping.,Trent Limited,1077808
21,SEM-0085,[IDT] — Time stamp required in Restore documents.,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: deleted, which, documents, restore, docs, identify, list, through. Most representative complaint: ""Unable to identify the list of deleted documents through Delete History. Restore documnets have the records of all deleted docs, but which docs were deleted at which time and by which user is not identifed in Restore documents section.""","Unable to identify the list of deleted documents through Delete History. Restore documnets have the records of all deleted docs, but which docs were deleted at which time and by wh...",Trent Limited,1077806
22,SEM-0092,[IDT] — Accepted PR values should be appear in 4A(5) instead of 2B values i...,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: values, accepted, should, appear, instead, case, match, status. Most representative complaint: ""Accepted PR values should be appear in 4A(5) instead of 2B values in case the match status is ""Mismatch"".""","Accepted PR values should be appear in 4A(5) instead of 2B values in case the match status is ""Mismatch"".",Trent Limited,1077824
23,SEM-0097,[IDT] — Option to select ITC Ineligible as per 2B,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: 100, negative, ineligible, treatment, makes, value, which, requires. Most representative complaint: ""2B = 80 PR = 100 = ineligible Treatment in Table 4 4A(5) = 80 4B(1) = 100 4B(2) = -20 4C = 0 This makes the 4B(2) value negative, and which requires to be manually adjusted in Table 4 because negative values are not accepted.""","2B = 80 PR = 100 = ineligible Treatment in Table 4 4A(5) = 80 4B(1) = 100 4B(2) = -20 4C = 0 This makes the 4B(2) value negative, and which requires to be manually adjusted in Tabl...",Trent Limited,1077814
24,SEM-0098,[GL Stream] — Custom fields in GL recon,GL Stream,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: tax, type, required, custom, columnslike, code, doc, etc. Most representative complaint: ""Required custom columnslike Tax code, Doc type, FI type, etc. in Output tax GL and Revenue GL vs SR.""","Required custom columnslike Tax code, Doc type, FI type, etc. in Output tax GL and Revenue GL vs SR.",Trent Limited,1079759
25,SEM-0105,[IDT] — Require Match/Unmatch identification of each line item in recon on...,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: identification, match, unmatch, recon, refer, sheet, attached. Most representative complaint: ""Identification of Match/Unmatch in Recon Refer sheet attached""",Identification of Match/Unmatch in Recon Refer sheet attached,Trent Limited,1077820
26,SEM-0054,[IDT] — Feature Request - Availability of Electronic Liability Ledger,IDT,2,2,0,7450000.0,2,1.0,0.2854,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (Apl Apollo Tubes Limited, Zomato Limited). ARR at risk: ₹7,450,000. Open tickets: 2/2. Key themes from customer descriptions: electronic, liability, ledger, pan, level, format, customer, feature. Most representative complaint: ""Feature Request - Availability of Electronic Liability Ledger at the PAN level for excel format . Also, the customer will be able to download the Electronic Liability ledger in the PDF Format by putting the captcha at the PAN level.""","Feature Request - Availability of Electronic Liability Ledger at the PAN level for excel format . Also, the customer will be able to download the Electronic Liability ledger in the... | The customer wants the electronic liability Regsiter in the product",Apl Apollo Tubes Limited | Zomato Limited,"1079931, 1047225"
27,SEM-0088,[IDT] — Need facility to make GST payment through Clear portal,IDT,2,2,0,7100000.0,2,1.0,0.2842,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (Alkem Laboratories Limited, Rsb Transmissions (I) Ltd). ARR at risk: ₹7,100,000. Open tickets: 2/2. Key themes from customer descriptions: portal, client, needs, facility, make, gst, payment, through. Most representative complaint: ""Client needs a facility to make GST payment through Clear portal without going to government portal""",Client needs a facility to make GST payment through Clear portal without going to government portal | Client needs a facility to make GST payment through Clear portal without going to government portal,Alkem Laboratories Limited | Rsb Transmissions (I) Ltd,"1058944, 1058945"
28,SEM-0036,[IDT] — Activation of Duplication layer in data overview for Purchase,IDT,2,2,0,4477499.0,2,1.0,0.2749,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (ONE SGG VENTURES LLP, EVERSUB INDIA PRIVATE LIMITED(SUBWAY)). ARR at risk: ₹4,477,499. Open tickets: 2/2. Key themes from customer descriptions: activation, duplication, layer, data, overview, purchase, workspace, a4d34fce. Most representative complaint: ""Activation of Duplication layer in data overview for Purchase Workspace ID: a4d34fce-b361-4d21-a60a-05430083eb05""",Activation of Duplication layer in data overview for Purchase Workspace ID: a4d34fce-b361-4d21-a60a-05430083eb05 | Activation of Duplication layer in data overview for Purchase Workspace ID: 32e38d60-80de-4092-a259-70f7dbffdfd7,ONE SGG VENTURES LLP | EVERSUB INDIA PRIVATE LIMITED(SUBWAY),"1056511, 1056512"
29,SEM-0008,[IDT] — Reconciliation of E-way bill should also happen separately with del...,IDT,2,2,0,3590000.0,2,1.0,0.2718,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (P.M. Electro-Auto Private Limited, Ghcl Limited). ARR at risk: ₹3,590,000. Open tickets: 2/2. Key themes from customer descriptions: client, needs, delivery, challan, itc, facility, reconciliation, ewb. Most representative complaint: ""Client needs a facility to do a reconciliation of EWB with delivery challan. Also, in cases where ITC-04 is applicable, client wants that the same needs to be done with ITC-04 as well as it has delivery challan details.""","Client needs a facility to do a reconciliation of EWB with delivery challan. Also, in cases where ITC-04 is applicable, client wants that the same needs to be done with ITC-04 as w... | Client needs a facility to do a reconciliation of EWB with delivery challan. Also, in cases where ITC-04 is applicable, client wants that the same needs to be done with ITC-04 as w...",P.M. Electro-Auto Private Limited | Ghcl Limited,"1060012, 1049134"
30,SEM-0035,[IDT] — Rule 43 Automatic reversal computation in GSTR 3B,IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: dear, team, rule, automated, free, computation, detailed, workings. Most representative complaint: ""Dear Team, Rule 43 - Automated and error-free computation with detailed workings available in CCC for audit/assessment.""","Dear Team, Rule 43 - Automated and error-free computation with detailed workings available in CCC for audit/assessment.",Chemplast Sanmar Limited,1073236
31,SEM-0045,[IDT] — Annual Return (GSTR 9/9C),IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: all, tables, dear, team, annual, return, auto, population. Most representative complaint: ""Dear Team, In the Annual return : - Auto-population of all tables based on monthly returns filed through CCC. - Invoice-wise break-up in all tables for transparency, reconciliation, and audit ease.""","Dear Team, In the Annual return : - Auto-population of all tables based on monthly returns filed through CCC. - Invoice-wise break-up in all tables for transparency, reconciliation...",Chemplast Sanmar Limited,1073234
32,SEM-0049,[IDT] — Reports - Enablement of Multi-PAN selection option,IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: dear, team, enable, multi, pan, selection, all, reports. Most representative complaint: ""Dear Team, Enable multi-PAN selection for all reports in CCC for easy consolidated downloads.""","Dear Team, Enable multi-PAN selection for all reports in CCC for easy consolidated downloads.",Chemplast Sanmar Limited,1073237
33,SEM-0072,[GL Stream] — Turnover Recon for the purpose of GSTR 9C,GL Stream,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: recon, should, dear, team, stream, mainly, revenue, format. Most representative complaint: ""Dear Team, In the GL stream, mainly in Revenue vs SR recon should be in the format of GSTR 9C and remarks columns should be there for differences and invoice - wise breakup for recon gaps""","Dear Team, In the GL stream, mainly in Revenue vs SR recon should be in the format of GSTR 9C and remarks columns should be there for differences and invoice - wise breakup for rec...",Chemplast Sanmar Limited,1073235
34,SEM-0081,[IDT] — Electronic Credit Reversal & RCM Statement,IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: dear, team, electronic, credit, reversal, rcm, statement, critical. Most representative complaint: ""Dear Team, For Electronic Credit Reversal & RCM Statement (Critical post GSTN advisory dated 29th Dec 2025) : - Invoice-wise break-up for reversals and closing balance.""","Dear Team, For Electronic Credit Reversal & RCM Statement (Critical post GSTN advisory dated 29th Dec 2025) : - Invoice-wise break-up for reversals and closing balance.",Chemplast Sanmar Limited,1076393
35,SEM-0096,[IDT] — Feature request on GSTN Verification report,IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: liability, paid, bulk, download, dear, team, gstn, verification. Most representative complaint: ""Dear Team, In the GSTN verification report, Liability Paid Percentage of Suppliers (Bulk Download Option) - Provide bulk download functionality to avoid vendor-wise manual tracking - Enable accurate computation and presentation of liability paid vs payable.""","Dear Team, In the GSTN verification report, Liability Paid Percentage of Suppliers (Bulk Download Option) - Provide bulk download functionality to avoid vendor-wise manual tracking...",Chemplast Sanmar Limited,1073233
36,SEM-0103,[IDT] — Additional Fields required in Purchase Day Book (As per Rule 54(1A)),IDT,1,1,0,18900000.0,1,1.0,0.2713,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Chemplast Sanmar Limited). ARR at risk: ₹18,900,000. Open tickets: 1/1. Key themes from customer descriptions: reference, dear, team, additional, fields, pdb, rule, update. Most representative complaint: ""Dear Team, Additional Fields in PDB (Rule 54(1A)) : - Update transfer challan document reference raised from Regular GSTN to ISD. - Include original invoice reference details for future tracking during assessments/audits.""","Dear Team, Additional Fields in PDB (Rule 54(1A)) : - Update transfer challan document reference raised from Regular GSTN to ISD. - Include original invoice reference details for f...",Chemplast Sanmar Limited,1076395
37,SEM-0073,[IDT] — Matching Key Option is available for SR reconciliation,IDT,2,2,0,3130450.0,2,1.0,0.2701,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (Supriya Lifescience Limited, THE INDIAN HUME PIPE COMPANY LIMITED). ARR at risk: ₹3,130,450. Open tickets: 2/2. Key themes from customer descriptions: matching, key, vendor, specific, option, filter, document, client. Most representative complaint: ""Vendor-Specific Matching Key + Filter Option In the 2B vs PR recon report, we currently have a document-specific matching key. The client is requesting: A vendor-specific matching key to quickly determine overall match/mismatch status vendor-wise. A new filter for Matching Key in Vendor View, so tha...""","Matching Key Option is available for SR reconciliation | Vendor-Specific Matching Key + Filter Option In the 2B vs PR recon report, we currently have a document-specific matching key. The client is requesting: A vendor-specific matching...",Supriya Lifescience Limited | THE INDIAN HUME PIPE COMPANY LIMITED,"1078476, 1059945"
38,SEM-0015,"[IDT] — Feature Request : Add new columns ITC Claim (as per 8A) , ITC Claim...",IDT,1,1,0,14980000.0,1,1.0,0.2574,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zepto). ARR at risk: ₹14,980,000. Open tickets: 1/1. Key themes from customer descriptions: itc, claim, per, feature, add, new, columns, recon. Most representative complaint: ""Feature Request : Add new columns ITC Claim (as per 8A) , ITC Claim (as per PR) in 8A vs PR recon report.""","Feature Request : Add new columns ITC Claim (as per 8A) , ITC Claim (as per PR) in 8A vs PR recon report.",Zepto,1063902
39,SEM-0053,[IDT] — Validation for Recipient billing state and state code should be same,IDT,1,1,0,14980000.0,1,1.0,0.2574,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zepto). ARR at risk: ₹14,980,000. Open tickets: 1/1. Key themes from customer descriptions: recipient, state, introduce, validation, billing, gstin, code, shpould. Most representative complaint: ""Please introduce a validation : Recipient Billing GSTIN's state code shpould be equal to the Recipient State.""",Please introduce a validation : Recipient Billing GSTIN's state code shpould be equal to the Recipient State.,Zepto,1041607
