roadmap_item_id,product,hierarchy_level,parent_id,title,description,status,percent_complete,start_date,end_date,target_quarter,owner,stack_rank,prod_date_projected,old_prod_date_projected,customer_facing_date,source_system,source_key,source_file,theme,aop_goal,priority
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-11,DT,Initiative,,Capex,Poc for liquibase -- CF - Planned,,0,,,,Dheeraj Shukla,4,22-Sep-2025,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-11,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-12,DT,Initiative,,TDS Rationalisation,TDS Rationalisation Logic and UX Improvements <placeholder> based on customer feedbacks by end of 31 Aug 2025,,0,,,Q2,Vignesh V,5,5-Oct-2025,,3-Nov-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-12,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-13,DT,Initiative,,Capex,"Cost saving activity, Ingestion movement to activity processor V2()(phase 2) - Planned",,0,,,Q4,Dheeraj Shukla,5,22-Sep-2025,,21-Oct-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-13,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-14,DT,Initiative,,TDS Rationalisation,TDS PR preparation via GL stream - Incl. Linking Expense line to TDS line within same accounting entry,,0,,,Q2,Vignesh V,5,30-Sep-2025,,TBD,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-14,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-15,DT,Initiative,,Filing - Bug Fix,Govt credentials Settings issue fixes and improvements - for RPA improvement tech debt JIRA https://cleartaxtech.atlassian.net/browse/GSTF-7761,,0,,,Q4,,6,12-Mar-2026,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-15,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-16,DT,Initiative,,Capex,Handling high volume ingestion/FVU generation/certificate generation -- Backend,,0,,,,Dheeraj Shukla,6,5-Nov-2025,,4-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-16,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-17,DT,Initiative,,CI/CD enablement in TDS,Unit/Integration test case coverage (part-2) - Target 90%,,0,,,Q3,Dheeraj Shukla,6,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-17,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-18,DT,Initiative,,CD enablement Org Wide,POC for Liqibase,,0,,,,Dheeraj Shukla,6,22-Dec-2025,,20-Jan-2026,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-18,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-19,DT,Initiative,,TDS Workbench - Enhancements,Custom Template enablement for importing TDS payables data transformed via UI (GL via UI). Kalpataru is the first customer here,,0,,,Q3,,7,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-19,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-20,DT,Initiative,,Capex,Batch processing of Certificate generation & Signing & associated UX -- Backend,,0,,,,Dheeraj Shukla,7,22-Oct-2025,,20-Nov-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-20,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-21,DT,Initiative,,TDS Rationalisation,Mapping TDS line with Expense line. Refer for brief scope & slack thread for more details,,0,,,Q4,,8,20-JAN-2026 (QA ready) 5-FEB-2026 (PROD),,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-21,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-22,DT,Initiative,,TDS Rationalisation,"Walkthrough of gap between all the Expense GL entries and those subset of entries considered for Rationalisation. -Summary page will be showing now ""Total value from GL"" and ""Considered in rationalization"" and ""Ignored/Excluded documents"". spec",,0,,,Q4,,9,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-22,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-23,DT,Initiative,,TDS Rationalisation,"GR/SR / Temporary GL <> IR linking Refer for scope. This is already developed by Aditya M, Aishwarya V",,0,,,Q2,Vignesh V,9,22-Sep-2205,,21-Oct-2205,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-23,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-24,DT,Initiative,,TDS Rationalisation,Fetching Actual Expense GL info of Invoice entries from the GR<>IR linkage Refer for brief scope Note: GR<>IR linkage is currently tightly coupled with Expense GL vs PR recon which needs to be de-coupled.,,0,,,Q4,,10,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-24,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-25,DT,Initiative,,TDS Rationalisation,Automated Model Training - First time training on bulk data (Q4). Refer associated AI team roadmap team - Continuous training on incremental data coming from ERP (DEFER) - Feedback loop based training on user actions/changes on the Clear recommended sections (DEFER),,0,,,Q4,,11,20-JAN-2026 (QA ready) 5-FEB-2026 (PROD),,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-25,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-26,DT,Initiative,,TDS Rationalisation,"Ignition Stage UX for Rationalisation Run - Business & FY selection - Review data summary - Sync LDC, PAN status - Review Config settings - First time model training for the specific customer data",,0,,,Q4,Vignesh V,12,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-26,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-27,DT,Initiative,,TDS Rationalisation,"Rate variances enhancements - Settings config for skipping section recommendation [ BE complete, FE to do] - Exclude certain non applicable Vendors / Expenses from Rate validation checks via Settings.",,0,,,Q4,,13,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-27,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-28,DT,Initiative,,TDS Rationalisation,"GL config settings in GL stream to include/exclude Expense GL codes for Clause-34 feature Also, refer associated AI roadmap item",,0,,,Q4,,14,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-28,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-29,DT,Initiative,,TDS Rationalisation,Section variances enhancements (to be evaluated based on EA feedbacks) - Option to skip section determination for TDS deducted entries & consider Books section as-is,,0,,,Q4,,15,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-29,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-30,DT,Initiative,,TDS Rationalisation,"Platform items for Rationalisation * Licensing (How will handle for customers who have not opted for Rationalisation feature / CCC DT Prime? ) * UAM * Custom Fields for TDS PR, Remarks * Synonyms for Sections * Bulk Error report in Import history",,0,,,Q4,Vignesh V,16,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-30,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-31,DT,Initiative,,Capex,mongo data will be synced to iceberg and that data we will show on data browser,,0,,,,Dheeraj Shukla,20,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-31,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-32,DT,Initiative,,TDS Rationalisation,Close the loop on Variances - Actions such as Edit Clear recommended variances / Accept book or clear values - Final Clause-34 based on user actions,,0,,,Q4,Vignesh V,22,22-Nov-2025,,TBD,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-32,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-33,DT,Initiative,,TDS Workbench - Enhancements,Net-off report enhancements for Monthly Challan payment JTBD,,0,,,,,22,,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-33,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-34,DT,Initiative,,Filing,"UI/UX Improvements Phase 2 - Automatically do workflows wherever we don't need TRACES/CAPTCHA details - Simplify Import, Verify and Sync Flows for Challan and LDC - Multiple template ingestions leading to header issues causing the count to double creating mismatch, blocking FVU generation - Bulk PAN verification using API. - Handling high volume ingestion/FVU generation/certificate generation",,0,,,Q2,Swastika Nayak,22,5-Dec-2025,,3-Jan-2026,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-34,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-35,DT,Initiative,,Filing,Form 16/16A Certificate generation flow improvements Phase 1 - UX improvements for DSC based signing (Java version / Clear signer utility communications) - Resume Certificate signing process from the last left-off stage,,0,,,Q2,Swastika Nayak,22,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-35,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-36,DT,Initiative,,Filing - Form 16/16A,Form 16/16A Certificate generation flow improvements Phase 2(Desktop utility) - Password protect for DSC method of signing - Custom page signing for DSC method - Custom page form 16 enablement using e-doc signer - Vendor Contact master improvements - Email flow unblocking for form 16a/16/27d generation - Clear communication to customer for capacity.,,0,,,,,22,TBD,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-36,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-37,DT,Initiative,,Filing - Potential Notice Deflection Improvements,"Potential Notices Improvement - Prevent highlighting potential notices for Late Fees, Interest if Challan already has payment - Short deduction amount should be shown at deductions level - Implement Pro-rata LDC Balance Adjustment",,0,,,,Swastika Nayak,22,22-Oct-2025,,20-Nov-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-37,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-38,DT,Initiative,,26AS Recon,TRL via GL stream,,0,,,,Aayushi Garg,25,30-April-2026,,29-May-2026,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-38,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-39,DT,Initiative,,26AS Recon,Deductor Communication,,0,,,,Aayushi Garg,25,TBD,,#VALUE!,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-39,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-40,DT,Initiative,,26AS Recon,26AS enhancements Phase 2 - Other parts in 26AS (Part 3 & 4) - enabling 3 yrs for 26as recon - Additional fields in reports - report simplification,,0,,,,Swastika Nayak,30,TBD,,#VALUE!,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-40,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-41,DT,Initiative,,TDS Rationalisation,Audit Trail of Rationalisation results and Actions,,0,,,,Vignesh V,30,TBD,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-41,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-42,DT,Initiative,,TDS Rationalisation,"Rate determination edge cases - LDC partially eligible for Invoice - Multiple LDCs for same PAN, section and duration - Section threshold checks across TANs under the PAN",,0,,,Q3,Vignesh V,30,TBD,,#VALUE!,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-42,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,GTM,GTM Levers,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-43,DT,Initiative,,CI enablement in TDS,Unit/Integration test case coverage (part-1) - Target 80%,,0,,,,Dheeraj Shukla,,22-Nov-2025,,21-Dec-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-43,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-1,GL Stream,Initiative,,CCC - Global setup,For KSA and Malaysia GL recon infra & GL recon enablement,Done,100,,,Q2,Aishwarya Viswanathan,,1-Jul-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-1,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Strategic expansion,Global Launch,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-2,GL Stream,Initiative,,CCC - Global setup,For KSA and Malaysia One integration & GL schema setup UX changes for supporting Global requirements,Done,100,,,Q2,Aishwarya Viswanathan,,1-Jul-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-2,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Strategic expansion,Global Launch,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-3,GL Stream,Initiative,,Clause 44,Purchase Invoice GL and GRN GL linkage for the purpose of Expense GL Recon,Done,100,,,Q3,Aishwarya Viswanathan,,1-Oct-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-3,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-4,GL Stream,Initiative,,Clause 44,Leverage GL data and expense recon to build Clause 44 report on product - EA,Done,100,,,Q3,Abhay Goyal,,1-Oct-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-4,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-5,GL Stream,Initiative,,Clause 44,UX changes - Expense TB view - Recon sub-buckets - Report Persistence,In Progress,40,,,Q4,Abhay Goyal,,Jan'26,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-5,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-6,GL Stream,Initiative,,GL Recon,GL Recon stability - Setting up test data and perf env to perform load testing,Done,100,,,Q2,Aishwarya Viswanathan,,1-Jul-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-6,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-7,GL Stream,Initiative,,GL Recon,Support for GSTIN-level GL Recons,To Do,40,,,Q4,Abhay Goyal,,1-Feb-2026,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-7,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-8,GL Stream,Initiative,,GL Recon,Persist the last reconciliation results for each PAN/GSTIN entity,In Progress,40,,,Q4,Abhay Goyal,,1-Feb-2026,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-8,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-9,GL Stream,Initiative,,GL Recon,Upgrading S4 config to include ACDOCA fetch,Problem Solving,25,,,Q4,Abhay Goyal,,1-Feb-2026,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-9,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-10,GL Stream,Initiative,,GL Recon,Unit testing for GL recon GA,At Risk,25,,,,Abhay Goyal,,1-Apr-2026,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-10,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,GA enablement,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-11,GL Stream,Initiative,,GL Recon,Enabling remarks on GL recon,Deferred,25,,,,Abhay Goyal,,,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-11,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-12,GL Stream,Initiative,,GL Transformation,GL via UI Data Transformation via UI - GA : 5 build with CCC customers,Done,100,,,Q3,Aishwarya Viswanathan,,1-Nov-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-12,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,GA enablement,Make the tax ops engine 'utility grade',
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-13,GL Stream,Initiative,,GL Transformation,POC enablement : Transformation via UI leveraging AI,Deferred,25,,,,Aishwarya Viswanathan,,,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-13,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,GTM,GTM Levers,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-14,GL Stream,Initiative,,Global E-invoice,SFTP Crawler Redesign,Done,100,,,Q2,Rohit Khan,,1-Sep-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-14,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Tech Debt,Global Launch,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-15,GL Stream,Initiative,,Global E-invoice,Data Transformation via SFTP for KSA,Done,100,,,Q3,Rohit Khan,,1-Oct-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-15,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Strategic expansion,Global Launch,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-16,GL Stream,Initiative,,Global E-invoice,E-Invoice via GL Stream(Addon based) for Malaysia - SAP ECC/S4HANA,Done,100,,,Q3,Rohit Khan,,1-Oct-2025,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-16,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Usage to Success,Global Launch,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-17,GL Stream,Initiative,,GLS Additional use cases,Term Sheet : 9/9C Automation : T14 and T15,Won't Do,25,,,Q4,Abhay Goyal,,,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-17,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Additional Revenue,Term Sheet,
GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-18,GL Stream,Initiative,,GLS Additional use cases,Term Sheet : Something similar to Tally on wheels IS Reports Multi-entity consolidation Cost-centre analysis Ledger scrutiny,Won't Do,25,,,,Abhay Goyal,,,,,Roadmap CSV,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2)-18,GL Stream Roadmap FY26 (Q2 & Q3) - Roadmap (2).csv,Additional Revenue,Term Sheet,
