request_id,cluster_id,cluster_label
1073235,SEM-0072,[GL Stream] — Turnover Recon for the purpose of GSTR 9C
1078476,SEM-0073,[IDT] — Matching Key Option is available for SR reconciliation
1059945,SEM-0073,[IDT] — Matching Key Option is available for SR reconciliation
1077808,SEM-0074,[IDT] — Excel uploader facility for Grouping
1059869,SEM-0075,[IDT] — Reconciliation Report
1058952,SEM-0076,[IDT] — Filing tracker report to be auto-sent to tax head over e-mail after...
1078577,SEM-0077,[DT] — EDIT option TDS UI
1066028,SEM-0078,[IDT] — FR: Need error message as per the validations
1078188,SEM-0079,[IDT] — Feature Request - PAN-level availability of PDFs for already-paid G...
1073960,SEM-0080,[IDT] — Locking of filed return (transaction level)
1071344,SEM-0080,[IDT] — Locking of filed return (transaction level)
1076393,SEM-0081,[IDT] — Electronic Credit Reversal & RCM Statement
1065100,SEM-0082,[IDT] — Inconsistent Document Number Matching Logic in G1 vs SR and 2B vs PR
1059942,SEM-0083,[IDT] — Feature Request
1053666,SEM-0084,[IDT] — Feature request to enable searching for multiple document numbers i...
1077806,SEM-0085,[IDT] — Time stamp required in Restore documents.
1049910,SEM-0086,[IDT] — Provide option to upload excel file for User Access Management
1035306,SEM-0087,[IDT] — Repository of all the recons with time stamp
1058944,SEM-0088,[IDT] — Need facility to make GST payment through Clear portal
1058945,SEM-0088,[IDT] — Need facility to make GST payment through Clear portal
1076262,SEM-0089,[IDT] — Feature Request - ISD Document ingestion via Purchase register for...
1079928,SEM-0090,[GL Stream] — GL Stream - Need further split in Sub-status column in Revenue GL
1068823,SEM-0091,[IDT] — requiredG9 templet
1077824,SEM-0092,[IDT] — Accepted PR values should be appear in 4A(5) instead of 2B values i...
1076265,SEM-0093,[IDT] — Feature Request - Provide a report of documents still forming part...
1060147,SEM-0094,[IDT] — Required some additional details in Cleartax Doc level Sales report
1079694,SEM-0095,[IDT] — Reversal & Reclaim Document Level Report
1073233,SEM-0096,[IDT] — Feature request on GSTN Verification report
1077814,SEM-0097,[IDT] — Option to select ITC Ineligible as per 2B
1079759,SEM-0098,[GL Stream] — Custom fields in GL recon
1049600,SEM-0099,[IDT] — Feature Request - Visibility on UI for any processing stuck at GST...
1058504,SEM-0100,[IDT] — Feature Request
1078189,SEM-0101,[IDT] — Feature Request - GSTR-1/GSTR-3B Filed PDF for more than 1 return p...
1059865,SEM-0102,[IDT] — GST Filing Tracker Enhancement
1076395,SEM-0103,[IDT] — Additional Fields required in Purchase Day Book (As per Rule 54(1A))
1043165,SEM-0104,[IDT] — GSTR-1 filing date required in IMS vs PR recon report
1077820,SEM-0105,[IDT] — Require Match/Unmatch identification of each line item in recon on...
1081612,SEM-0106,[IDT] — Activity Log
